2026-05-23 19:45:05 [WARNING] febbyBot: Executando sem privilégios de Administrador. Envio de teclas pode falhar.
2026-05-23 19:45:05 [INFO] febbyBot: Iniciando febbyBot...
2026-05-23 19:45:05 [INFO] febbyBot: Configurações carregadas com sucesso!
2026-05-23 19:45:05 [INFO] febbyBot: Módulo de Captura (MSS) inicializado com sucesso.
2026-05-23 19:45:05 [INFO] febbyBot: Módulo HPDetector inicializado com sucesso.
2026-05-23 19:45:05 [INFO] febbyBot: ActionHandler inicializado utilizando o método: 'keyboard'
2026-05-23 19:45:05 [INFO] febbyBot: Engine de Decisão estruturada com 2 regras de cura.
2026-05-23 19:45:05 [INFO] febbyBot:   -> Regra [Cura de Emergência (Urgente)]: Ativa se HP <= 40% | Hotkey: F1 | Cooldown: 1000ms
2026-05-23 19:45:05 [INFO] febbyBot:   -> Regra [Cura Leve (Manutenção)]: Ativa se HP <= 85% | Hotkey: F2 | Cooldown: 500ms
2026-05-23 19:45:05 [INFO] febbyBot: Cura executada: Cura de Emergência (Urgente) (Tecla F1, HP 0.0%)
2026-05-23 19:45:05 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 0.0%)
2026-05-23 19:45:06 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 0.0%)
2026-05-23 19:45:06 [INFO] febbyBot: Cura executada: Cura de Emergência (Urgente) (Tecla F1, HP 0.0%)
2026-05-23 19:45:06 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 0.0%)
2026-05-23 19:45:07 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 0.0%)
2026-05-23 19:45:07 [INFO] febbyBot: Cura executada: Cura de Emergência (Urgente) (Tecla F1, HP 0.0%)
2026-05-23 19:45:07 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 0.0%)
2026-05-23 19:45:08 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 0.0%)
2026-05-23 19:45:08 [INFO] febbyBot: Cura executada: Cura de Emergência (Urgente) (Tecla F1, HP 0.0%)
2026-05-23 19:45:08 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 0.0%)
2026-05-23 19:45:09 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 0.0%)
2026-05-23 19:45:09 [INFO] febbyBot: Cura executada: Cura de Emergência (Urgente) (Tecla F1, HP 0.0%)
2026-05-23 19:45:09 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 0.0%)
2026-05-23 19:45:10 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 0.0%)
2026-05-23 19:45:10 [INFO] febbyBot: Cura executada: Cura de Emergência (Urgente) (Tecla F1, HP 0.0%)
2026-05-23 19:45:10 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 0.0%)
2026-05-23 19:45:11 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 0.0%)
2026-05-23 19:45:11 [INFO] febbyBot: Cura executada: Cura de Emergência (Urgente) (Tecla F1, HP 0.0%)
2026-05-23 19:45:11 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 0.0%)
2026-05-23 19:45:12 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 0.0%)
2026-05-23 19:45:12 [INFO] febbyBot: Cura executada: Cura de Emergência (Urgente) (Tecla F1, HP 0.0%)
2026-05-23 19:45:12 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 0.0%)
2026-05-23 19:45:13 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 0.0%)
2026-05-23 19:45:13 [INFO] febbyBot: Cura executada: Cura de Emergência (Urgente) (Tecla F1, HP 0.0%)
2026-05-23 19:45:14 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 0.0%)
2026-05-23 19:45:14 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 0.0%)
2026-05-23 19:45:14 [INFO] febbyBot: Cura executada: Cura de Emergência (Urgente) (Tecla F1, HP 0.0%)
2026-05-23 19:45:15 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 0.0%)
2026-05-23 19:45:15 [INFO] febbyBot: Bot interrompido manualmente pelo terminal.
2026-05-23 19:45:15 [INFO] febbyBot: Instância do MSS fechada.
2026-05-23 19:45:15 [INFO] febbyBot: BotEngine finalizado com segurança.
2026-05-23 19:48:39 [WARNING] febbyBot: Executando sem privilégios de Administrador. Envio de teclas pode falhar.
2026-05-23 19:48:39 [INFO] febbyBot: Iniciando febbyBot...
2026-05-23 19:48:39 [INFO] febbyBot: Configurações carregadas com sucesso!
2026-05-23 19:48:39 [INFO] febbyBot: Módulo de Captura (MSS) inicializado com sucesso.
2026-05-23 19:48:39 [INFO] febbyBot: Módulo HPDetector inicializado com sucesso.
2026-05-23 19:48:39 [INFO] febbyBot: ActionHandler inicializado utilizando o método: 'keyboard'
2026-05-23 19:48:39 [INFO] febbyBot: Engine de Decisão estruturada com 2 regras de cura.
2026-05-23 19:48:39 [INFO] febbyBot:   -> Regra [Cura de Emergência (Urgente)]: Ativa se HP <= 40% | Hotkey: F1 | Cooldown: 1000ms
2026-05-23 19:48:39 [INFO] febbyBot:   -> Regra [Cura Leve (Manutenção)]: Ativa se HP <= 85% | Hotkey: F2 | Cooldown: 500ms
2026-05-23 19:51:05 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 84.9%)
2026-05-23 19:51:06 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 79.2%)
2026-05-23 19:51:06 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 79.2%)
2026-05-23 19:51:07 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 79.2%)
2026-05-23 19:51:08 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 76.2%)
2026-05-23 19:51:08 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 76.2%)
2026-05-23 19:51:09 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 76.1%)
2026-05-23 19:51:09 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 75.9%)
2026-05-23 19:51:10 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 71.3%)
2026-05-23 19:51:10 [INFO] febbyBot: Cura executada: Cura Leve (Manutenção) (Tecla F2, HP 71.1%)
